"year","month","avg_monthly_close"
"2012","1","20803.775"
"2012","2","20516.417500000003"
"2012","3","20918.957272727275"
"2012","4","21270.88315789474"
"2012","5","22413.519047619047"
"2012","6","21367.843333333338"
"2012","7","22686.09136363636"
"2012","8","23351.48904761905"
"2012","9","25185.3655"
"2012","10","26897.817499999997"
"2012","11","26465.30590909091"
"2012","12","27230.231578947372"
"2013","1","30107.125238095232"
"2013","2","33352.2055"
"2013","3","33177.24250000001"
"2013","4","33626.231428571424"
"2013","5","36395.16761904763"
"2013","6","37688.6945"
"2013","7","37321.44956521739"
"2013","8","37136.961"
"2013","9","36178.73809523809"
"2013","10","37202.693157894726"
"2013","11","38391.722857142864"
"2013","12","39407.5125"
"2014","1","41465.01666666667"
"2014","2","39699.8315"
"2014","3","38374.789047619044"
"2014","4","38859.8505"
"2014","5","39206.8885"
"2014","6","41563.7038095238"
"2014","7","42735.93142857142"
"2014","8","41778.22095238095"
"2014","9","40935.09863636363"
"2014","10","39257.0055"
"2014","11","34611.793999999994"
"2014","12","32315.02380952381"
"2015","1","30125.386"
"2015","2","29386.187500000007"
"2015","3","30362.11"
"2015","4","34684.236000000004"
"2015","5","34413.51105263158"
"2015","6","33503.81636363635"
"2015","7","31474.851428571434"
"2015","8","30138.90714285714"
"2015","9","30188.93650000001"
"2015","10","29973.80666666667"
"2015","11","28454.96476190476"
"2015","12","27245.475"
"2016","1","24884.4655"
"2016","2","24146.07095238095"
"2016","3","25677.806666666664"
"2016","4","24954.779523809524"
"2016","5","26730.67149999999"
"2016","6","28502.570000000007"
"2016","7","28445.536666666667"
"2016","8","27529.13434782609"
"2016","9","27964.846499999996"
"2016","10","27663.321500000002"
"2016","11","26002.578636363636"
"2016","12","26223.048947368425"
"2017","1","26306.069047619047"
"2017","2","25376.945999999996"
"2017","3","25297.694782608694"
"2017","4","25519.900555555552"
"2017","5","27706.255238095237"
"2017","6","32951.7425"
"2017","7","33908.971904761915"
"2017","8","36956.04304347826"
"2017","9","35376.96052631579"
"2017","10","36467.943333333336"
"2017","11","37029.32454545455"
"2017","12","38430.60444444444"
"2018","1","42624.257727272736"
"2018","2","42921.369000000006"
"2018","3","42298.55476190477"
"2018","4","40804.2605"
"2018","5","40432.80904761905"
"2018","6","38261.99789473685"
"2018","7","37088.895454545454"
"2018","8","35635.34952380952"
"2018","9","33107.719000000005"
"2018","10","32636.898636363636"
"2018","11","31824.622380952373"
"2018","12","30931.63263157895"
"2019","1","30571.384545454537"
"2019","2","31959.92749999999"
"2019","3","31376.653333333332"
"2019","4","29681.015999999996"
"2019","5","29657.697142857145"
"2019","6","30019.58294117647"
"2019","7","28517.758260869563"
"2019","8","27429.625999999997"
"2019","9","27454.554761904765"
"2019","10","26562.89954545454"
"2019","11","26645.547"
"2019","12","26622.844999999994"
"2020","1","28947.96136363637"
"2020","2","27604.174499999994"
"2020","3","23364.058636363636"
"2020","4","22094.952500000003"
"2020","5","24269.23111111111"
"2020","6","25001.037619047616"
"2020","7","24339.578571428563"
"2020","8","25124.52"
"2020","9","25761.46272727273"
"2020","10","28591.839"
"2020","11","33468.92285714287"
"2020","12","36414.2319047619"
"2021","1","41010.3395"
"2021","2","40874.56349999999"
"2021","3","39057.98652173913"
"2021","4","39010.611000000004"
"2021","5","38820.79111111111"
"2021","6","38414.22142857142"
"2021","7","38288.931"
"2021","8","39267.81000000001"
"2021","9","39099.77772727273"
"2021","10","41259.71473684211"
"2021","11","43031.56954545455"
"2021","12","42213.19523809523"
"2022","1","44948.014"
"2022","2","47186.25600000001"
"2022","3","47208.397826086955"
"2022","4","47673.26105263158"
"2022","5","52562.068499999994"
"2022","6","52317.26285714285"
"2022","7","51473.288421052646"
"2022","8","49788.44956521739"
"2022","9","49475.716818181805"
"2022","10","45988.72368421053"
"2022","11","44921.715909090904"
"2022","12","49120.4745"
"2023","1","52254.58142857143"
"2023","2","54432.3345"
"2023","3","55080.76217391305"
"2023","4","52204.968125"
"2023","5","52752.037142857145"
"2023","6","58114.19526315789"
"2023","7","63814.83904761904"
"2023","8","65270.11826086957"
"2023","9","67570.02049999998"
"2023","10","67161.92095238094"
"2023","11","70882.23090909091"
"2023","12","72233.26250000001"
